iter	Logloss
0	0.6360598089
1	0.5930550732
2	0.5604032083
3	0.5256870966
4	0.5069823846
5	0.4920630339
6	0.4786029293
7	0.4666341934
8	0.458153739
9	0.4465781848
10	0.44080037
11	0.435790076
12	0.4281289739
13	0.4242714578
14	0.4209731924
15	0.4174682961
16	0.4152999433
17	0.4132477981
18	0.4110140812
19	0.4083689302
20	0.4068777687
21	0.4041892305
22	0.4030161884
23	0.4021451056
24	0.4007632792
25	0.3996833004
26	0.3988353598
27	0.3978313844
28	0.3973676011
29	0.3968656275
30	0.3957162682
31	0.3944328808
32	0.3934796872
33	0.3929574624
34	0.3924978312
35	0.392221613
36	0.3918531644
37	0.3910524039
38	0.3905648186
39	0.3895611791
40	0.3893337251
41	0.3891789452
42	0.3888828237
43	0.3884820481
44	0.3879238494
45	0.38758371
46	0.3870514626
47	0.3861590204
48	0.3858216888
49	0.3852956987
50	0.3850952413
51	0.3849054938
52	0.3847211811
53	0.3844311535
54	0.3843058535
55	0.3841358485
56	0.3839283764
57	0.3835393957
58	0.383396915
59	0.3832127074
60	0.3829224533
61	0.3825047566
62	0.3822896322
63	0.382105402
64	0.3817624853
65	0.3817053226
66	0.3816073831
67	0.3812807279
68	0.3811900264
69	0.3810340145
70	0.3808804238
71	0.3807088356
72	0.3804468599
73	0.3802175007
74	0.3801280966
75	0.3800234062
76	0.37985839
77	0.3796986827
78	0.3795878678
79	0.3790327822
80	0.3789403925
81	0.3787558746
82	0.3786267018
83	0.3784103137
84	0.3782478751
85	0.3779739333
86	0.3778095823
87	0.377643264
88	0.3775473913
89	0.3774066098
90	0.3771418872
91	0.3769416874
92	0.3767700985
93	0.3765553866
94	0.3763933537
95	0.3763185026
96	0.3762515786
97	0.376121306
98	0.3759517573
99	0.3757653565
