Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Inference Latency (ms/sample),Training Time (s)
Logistic Regression,0.6591184795794581,0.7391432356837921,0.604429998796196,0.6650331125827814,0.7147741295198385,0.7875935840180868,0.0013127804509486963,5.512204885482788
Decision Tree,0.6548726243429034,0.7480535658673311,0.5783074515468881,0.6523185552311765,0.6972234281459407,0.7602115571838342,0.0006721289367716915,2.85799241065979
Random Forest,0.6716538617064295,0.7931387608806963,0.559407728421813,0.6560779330792037,0.7245972237820433,0.806719257784853,0.006988887630040505,10.378443241119385
XGBoost,0.654063890012131,0.7107569721115538,0.6442759118815456,0.6758855843909831,0.7064696512638181,0.7734237517316405,0.0026814939841087785,1.7303292751312256
LightGBM,0.6658579323358943,0.7727642938589346,0.5710846274226556,0.6567908071438461,0.7057915691582646,0.76600155535792,0.005050157983278325,1.7160062789916992
CatBoost,0.6680145572179539,0.7726173197871311,0.5767425063199711,0.6604631927212572,0.7162522869465491,0.7932689073810985,0.0012075504149238864,3.5913870334625244
